AAA43283,0,1991
ABP49327,0,1945
ABO38054,0,1943
ACA33788,0,2007
ACA33790,0,2007
ABN59412,0,1935
ABP49481,0,1951
ABQ44471,0,1951
ABQ01311,0,1951
ABP49448,0,1978
ABN59401,0,1948
ABP49316,0,1950
ABW36311,0,1979
ACA33777,0,2007
ACB11784,0,2007
ACA33780,0,2007
ACH82079,0,2007
ABN59423,0,1978
ABW23343,0,2007
ABR15896,0,2000
ABU80298,0,2000
ABV45849,0,2000
ABS49976,0,2000
ABS49987,0,2000
ABU80309,0,2000
ABR28900,0,2005
ADG23217,0,2005
ADG23218,0,2006
ADG23220,0,2006
ADG23221,0,2006
ADG23222,0,2006
ACI32728,0,2006
ABD95339,0,1982
ABD77818,0,1982
ABO52258,0,1981
AAP34323,0,1995
ACF41867,0,1995
ABD62843,0,1942
ACI32733,0,2006
ACI32731,0,2006
ACI32714,0,2005
ACI32732,0,2006
ACI32734,0,2006
ABO38065,0,1978
AFO65049,0,2000
ACI32715,0,2005
ACA28844,47,2007
ACA28846,47,2007
CAA35094,0,1983
ABW23336,0,2007
ABW23339,0,2007
ABW23341,0,2007
ABW23335,0,2006
ABP49338,0,1978
ACD47245,0,2006
ACD47248,0,2007
ACA33803,0,2007
ACA33740,0,2007
ACA33795,0,2007
ACA33798,0,2007
ABY81349,0,1978
ABW91614,5,2007
ABW36234,0,2007
ABW39839,0,2007
ABW39850,0,2007
ABV29755,0,2007
ABX58261,0,2007
ABY51039,0,2007
ACI45444,0,2007
ACI45445,0,2007
ACM90870,0,2007
ACI45446,0,2007
ACI45447,0,2007
ABD79112,0,1946
AFO66235,0,2004
ABE11679,24,2001
ABM66864,13,2001
ABC42750,13,2004
ABD95306,20,2001
ABD78082,41,2001
ABF47561,12,2001
ABF47572,0,2001
ABD77917,30,2000
ABG37120,28,2001
ABD94976,39,2000
ABD95108,44,2001
ABD95130,1,2001
ABD60900,30,2000
ABD95185,1,2001
ABD77719,5,2000
ABD94987,6,2000
ABE11701,12,2001
ABF82673,9,2001
ABD77928,42,2000
ABD77972,23,2000
ABD94756,12,2000
ABD95031,9,2000
ABO38340,0,1983
AFO66147,0,2000
AFO66158,0,2001
ABO52797,0,1982
AFO66224,0,2003
ACA33673,0,2007
ACA33778,0,2007
ACD47237,0,2007
ABW39828,0,2007
AEM60058,0,2007
ABX58272,0,2007
ABW71393,0,2007
ABW81524,0,2005
ABW81514,0,2005
ABW81507,0,2001
ABW81508,0,2001
ABW81518,0,2004
ABW81510,0,2001
ABW81521,0,2005
ABW81517,0,2005
ABW81504,0,2001
ABW81520,0,2005
ABW81519,0,2005
ABW81503,0,2001
ABW81526,0,2006
ABW81527,0,2006
ABW81525,0,2006
ABD15258,0,1957
ADB80153,0,2007
ABG37362,0,2000
AFP33324,0,2000
AFP33325,0,2000
ACJ25157,0,2007
ACJ25113,0,2006
ACJ25168,0,2007
CAC18524,0,1983
ACA33741,0,2007
ABU50565,0,2006
ABU50566,0,2006
ACA33784,0,2007
ACA33797,0,2007
ACF40117,0,2007
ACA33802,0,2007
ACF40118,0,2007
ACD47251,0,2007
ACD47257,0,2007
AFQ90528,0,1993
AFO64846,0,1993
ACA33801,0,2006
ACN32804,0,2007
AEA04354,0,1947
AAA67338,0,1947
ABD77807,0,1947
ABD61735,0,1950
ACA33747,0,2007
ACA33736,0,2007
ADG23224,0,2006
ACB32206,0,2006
ACB32207,0,2006
ACB32201,0,2006
ACB32202,0,2006
ACB32203,0,2006
ACB32204,0,2006
ACB32205,0,2006
AEX33310,0,2001
AEX33321,0,2001
AEX33332,0,2001
AEX34473,0,2001
AEX33354,0,2002
AEX33365,0,2002
AEX33398,0,2003
AEX34572,0,2003
AEX33420,0,2003
AEX34672,0,2006
AEX34683,0,2006
AEX33913,0,2006
AEX33924,0,2006
ACI32717,0,2005
ADG23226,0,2007
ADG23225,0,2005
AEX34650,0,2005
AEX33902,0,2006
AEX34661,0,2006
ACA33701,0,2007
ACA33703,0,2007
ACA33704,0,2007
ACA33728,0,2007
ACA33723,0,2007
ACA33729,0,2007
ACA33724,0,2007
ACA33737,0,2007
ACA33672,0,2007
ACA33722,0,2007
ACA33726,0,2007
ACA33783,0,2007
ACB11812,0,2007
ACA33776,0,2007
ACF40114,0,2007
ACD47255,0,2007
ACD47246,0,2007
ACD47236,0,2007
ACD85753,0,2007
ABO38351,0,1936
ACI32718,0,2005
ABI20826,0,1940
ABD62061,0,2001
AEX35175,0,2006
AEX35186,0,2006
ADC45659,4,2007
AAK70452,0,1998
AAK70453,0,1998
AAK70454,0,1998
AAK70451,0,1998
AAK70456,0,1998
ABD60944,0,1977
AFO66246,0,2004
ADC45670,6,2007
ACA33750,0,2007
ACA33702,0,2007
ABW23295,0,2006
ACA33791,0,2007
ACA33771,0,2007
ACA33773,0,2007
ACU43620,0,2007
ACU43619,0,2007
ACB11774,0,2007
ABV29579,0,2007
ABW91559,32,2007
ABW86541,0,2007
ABW91416,0,2007
ABW40543,0,2007
ABV29689,0,2007
ABV30052,0,2007
ABO38362,0,1980
ABU50568,0,2006
ACA33775,0,2007
ABO38373,0,1943
ABI19015,0,2005
AFO64879,0,1997
ABW91471,0,2007
ABX58602,0,2007
BAK86315,0,2001
ABX58679,3,2006
ABV45937,0,2007
ABW71382,0,2007
ABV30503,0,2007
ABV29601,0,2007
ABW71316,0,2007
ABV30162,0,2007
ABX58635,0,2007
ABW91526,0,2007
ABV29733,0,2007
ABW39916,0,2007
ABV30525,0,2007
ADG23227,0,2006
ADG23232,0,2006
AAA43172,0,1979
AFV53260,0,1957
ABO32981,0,1978
ABO32992,0,1978
AAA43171,0,1954
ADT79108,0,1951
AEX34418,0,2006
AEX34440,0,2006
AFJ74386,0,1995
AFJ78298,0,1997
AFJ74459,0,1997
AFJ78342,0,1997
AFJ78364,0,1997
AFJ78375,0,1998
AFJ75069,0,2006
AFJ78507,0,2006
AFJ78518,0,2007
AFJ78529,0,2007
AFJ75517,0,2007
AFJ75549,0,2007
AFJ78562,0,2007
AFJ78573,0,2007
AFJ78628,0,2007
AFJ75560,0,2007
AFJ78584,0,2007
AFJ78595,0,2007
AFJ75571,0,2007
ABD60966,0,1954
AFJ78386,0,2003
AFJ78408,0,2003
AFJ78419,0,2004
AFJ78430,0,2005
AFJ75036,0,2005
AFJ78441,0,2005
AFJ78452,0,2005
AFJ78463,0,2005
AFJ75058,0,2006
AFJ78474,0,2006
AFJ78485,0,2006
AFJ78496,0,2006
ABW23312,0,2007
ACB11763,0,2007
ABO33006,0,1980
ACA33781,0,2007
ACV49556,0,1946
ABD62781,0,1935
ABN50756,0,1979
ABG88333,0,1983
ABP49349,0,1984
ABQ44416,0,1987
ABO38021,0,2001
ABN50962,0,1996
ABG26824,0,1983
ABM22246,0,1986
ABF47715,0,1978
ABN51066,0,1996
ABO38010,0,1996
AAP60036,0,1996
AAP60037,0,1996
ABO52225,0,1996
ABP49305,0,2000
ABG88344,0,1983
ABM22257,0,1996
ABK40546,0,1983
ABF47759,0,1983
ABK40590,0,1983
ABL67264,0,1983
ABN50940,0,1987
ABN50900,0,1983
ABM22279,0,1996
ABI92302,0,1983
ABO32948,0,2001
ABF47748,0,1980
ABO32959,0,2001
ABI96103,0,2003
ABI96107,0,2003
ABI96108,0,2003
ABI96109,0,2003
ABV29546,0,2006
ACA33752,0,2007
ACA33738,0,2007
ABW23328,0,2006
ABX58239,0,2006
ABW71360,0,2007
ABV29678,0,2007
ABV30459,0,2007
ABW36289,0,2007
CAA91081,0,1988
CAA91080,0,1985
BAG28220,0,2005
BAG28223,0,2005
AFO64901,0,1998
AFM68954,0,1934
ABI21519,0,1996
ABJ53504,0,1996
ABI21530,0,1996
ABI21541,0,1996
AFO64802,0,1999
ABI21552,0,1996
ABI95250,0,1996
ABW23337,0,2007
AFO66213,0,2002
ADT78876,0,1954
ADT78908,0,1953
ADT78929,0,1949
ADT78936,0,1951
ADM31392,0,2007
ACD37430,0,1999
ACF41878,0,1999
ACA33751,0,2007
ACA33727,0,2007
ACA33792,0,2007
ACB11775,0,2007
ABU50570,0,2006
ACB11808,0,2007
ABJ09327,9,2000
ABW23342,0,2007
ACA33785,0,2007
AAZ38627,26,2001
ABB80045,6,2001
AAZ83253,33,2002
ABA08475,20,2003
ABA08486,28,2000
ABF47671,19,2001
ABA42236,19,2001
ABB79979,0,2001
ABA43189,8,2001
ABW23320,0,2006
ABA87080,1,2002
ABP49360,0,1986
ABB79990,44,2001
ABA18037,1,2001
ABA08519,1,2001
ABA12715,1,2001
AAZ79604,1,2001
ABB02913,1,2001
ABB02924,1,2001
ABA42575,1,2001
ABB02936,1,2001
ABB03123,50,2003
ABB82205,43,2003
ABB82216,3,2002
ABB53740,1,2003
ABE11867,0,1995
ABE11900,0,1995
ABE11922,10,1995
ABE11942,5,1995
ABG47829,19,1996
ABE12032,0,1995
ABF47627,0,1995
ABG47840,20,1995
ABG88300,48,1995
ABF47660,8,1996
ABI20837,0,1995
ABE26991,23,1995
ABI20848,1,1996
ABG26791,26,1995
ABG88322,59,1995
ABF47638,8,1995
ABI20870,1,1995
ABI92313,16,1995
ABW40114,0,2007
ABV29634,0,2007
ABO33025,0,1983
ACI32721,0,2005
ACI32723,0,2005
ACI32735,0,2006
AEK59838,0,2007
ACI32724,0,2005
ABW71294,0,2006
ACF40124,0,2007
ACK99008,0,2007
ACK99009,0,2007
ACK99014,0,2007
ACK99027,0,2006
ACN72616,0,2007
ACA33678,0,2006
ACA33676,0,2006
ABU80400,0,1988
ABV30613,0,2007
ACA24513,0,2007
ABV30569,0,2007
ABW86519,0,2007
ABY51171,0,2007
ABW40576,0,2007
ACN33090,0,2007
ACD56280,7,2007
ABW91515,0,2007
ABX58360,0,2007
ACA33796,0,2007
ACA33799,0,2007
AFO65016,0,1998
ABW23290,0,2006
ACA33774,0,2007
ACH82081,0,2007
ACF40119,0,2007
ACF40120,0,2007
ACF40121,0,2007
ACD47241,0,2007
ADL60242,0,2007
ADL60253,0,2007
ADL60286,0,2007
ADL60297,0,2007
ADL60308,0,2007
ADL60319,0,2007
ADL60330,0,2007
ADL60341,0,2007
ADL60352,0,2007
ADL60374,0,2007
ABO38384,0,1935
AET84449,0,2006
ACR15348,0,1934
CAA24272,0,1934
ABD77675,0,1934
ABO21709,0,1934
ACF41834,0,1934
AFM71846,0,1934
AAM75158,0,1934
ACI32737,0,2006
ABN59434,0,1949
ACI32726,0,2005
AFO64890,0,1997
AFO64868,0,1996
AFO64857,0,1995
ACK99443,24,1989
ACK99465,9,1995
ACV49666,0,1987
ACL12261,19,1989
AFO66169,0,2001
ABO38395,0,1986
ABU50586,0,2006
ABU99109,0,2006
ABK40028,0,2000
ABM22026,0,2000
ABJ16642,0,2000
ABP49393,0,2005
ABJ16653,0,2005
ABJ16664,0,2005
ABJ16719,0,2000
ABD78071,19,2001
AAD17229,0,1918
ABW23340,0,2007
ACA33734,0,2007
ACD47250,0,2007
ACU79992,20,2007
ABU50587,0,2006
ACM41800,0,2007
BAA02768,0,1989
BAA02769,0,2000
AAK70449,0,1995
AAK70450,0,1995
ABD59848,0,1997
ADN92772,0,2006
ABF21274,0,1986
ABD59847,0,1996
ADN92774,0,2006
ADN92780,0,2007
ADN92771,0,2005
ACR15326,0,2002
ADY04727,0,2002
ADN92773,0,2006
ACO94804,0,2006
ADN92775,0,2006
ABB51962,0,2002
ADN92777,0,2007
ABD59849,0,1999
ACR15304,0,1999
ACR15315,0,2002
ADN92776,0,2006
ADN92769,0,2005
ADN92770,0,2005
ADN92768,0,2006
ACR15194,0,2007
ADG76644,0,2006
AEX33442,0,2003
AEX33946,0,2006
AEX34757,0,2006
AEX34768,0,2006
ADG23237,0,2007
ADG23238,0,2006
ADG23236,0,2005
ADG23216,0,2007
ABW40070,0,2007
ABX58558,0,2007
ABX58514,0,2007
ABW86398,0,2007
ACC61975,0,2007
ABW71448,0,2007
ABX58415,0,2007
ABW91328,0,2007
ABX58569,0,2007
ABX58536,0,2007
ABW23315,0,2007
ABW23325,0,2007
ABO44123,0,1986
ACA33677,0,2007
AAP34322,0,1991
ABD60955,0,1991
ACF41933,0,1991
ABF21276,0,1991
ACA33730,0,2007
ACA33732,0,2007
ACA33789,0,2007
ACA33779,0,2007
ABV29535,0,2006
ABY51061,0,2007
ABW91570,9,2007
ABW91361,0,2007
ABY51050,0,2007
ABY51072,0,2007
ABV82551,0,2007
ABW39883,0,2007
ACN32793,0,2007
ABV29612,0,2007
ABV30041,0,2007
ABW36212,0,2007
ABW40092,0,2007
ABK57093,0,2005
BAI44855,0,2007
ABS71673,0,2006
ABS71664,0,2006
ABS71670,0,2006
ABS71668,0,2006
ABS71669,0,2006
ABS71666,0,2006
ABS71672,0,2006
ABS71667,0,2006
ABS76427,0,2000
AEP32457,0,2004
ACI32727,0,2005
ABO44134,0,1977
ABO38406,0,1984
AEM23889,0,1947
ABQ01322,0,1979
ABD95350,0,1977
ABD60933,0,1977
ACV49534,0,1933
ABW40048,0,2007
ABV29656,0,2007
ABV30140,0,2007
ABV30283,0,2007
ABV30360,0,2007
ACD37507,0,2007
AFQ90532,0,1988
ACH86201,0,2007
ABW91493,0,2007
ABW40257,0,2007
ABY51138,0,2007
ABX58547,0,2007
ABF47955,0,1933
AAA43209,0,1933
CCH23214,0,1933
ACF54598,0,1933
ABF82863,0,2001
ABJ09184,0,2005
ABF82874,0,2001
ABO32678,0,2005
ABF82929,0,2001
ABF82918,0,2001
ABG26945,0,2001
ABJ09151,0,2001
ACA33733,0,2007
ACA33725,0,2007
ACA33807,0,2007
ACA33787,0,2007
ACA33772,0,2007
ACA33805,0,2007
ABD79101,0,1943
ABF82819,0,2001
ABG80172,0,2000
ABI21233,0,2005
ABI95217,0,2000
ABG80183,0,2000
ABG88542,0,2000
ABF47869,0,2000
AFQ90533,0,1992
AFO64835,0,1992
ABF47891,0,2000
ABO44046,0,2000
ABE11690,1,2001
ABO38032,33,2001
ABD77796,0,1933
ABF21278,0,1933
ABU50573,0,2006
ACB11783,0,2007
ABU50574,0,2006
AAB03291,0,1994
ABW23296,0,2006
ADG23245,0,2006
AEM60005,0,1935
